isbn,author
9780345410054,Bryce Courtenay
9780385732543,Bryce Courtenay
9780785260059,John C. Maxwell
9780471780939,Dave Lakhani
9780325001531,Louis E. Catron
9780060762872,Adam Ginsberg
9780470045299,Marsha Collier
9780072262780,Chris Malta
9780764569241,Marsha Collier
9780471933823,Julia Wilkinson
9780764559914,Marsha Collier
9780764584381,Marsha Collier
9780596523695,Lucas Carlson
9780806523491,Ruby Ann Boxcar
9780806525365,Ruby Ann Boxcar
9780596527310,Rob Orsini
9780143035008,Leo Tolstoy
9780451528612,Leo Tolstoy
9780140449174,Leo Tolstoy
9780822001836,Marianne Sturman
9781593080273,Leo Tolstoy
9780486437965,Leo Tolstoy
9781593081775,Leo Tolstoy
9780778322276,Gloria Goldreich
9780521313254,Anthony Thorlby
9780140183955,Mulk Raj Anand
9780679767473,John Banville
9781568491981,Eliot Ness
9780743270793,Narendra Jadhav
9780932863058,V.T. Rajshekar
9780742508804,Vasant Moon
9780205358625,Barry R. Cournoyer
9781557344038,John Carratello
9780380720446,George Smoot
9780821925324,Madeleine L'Engle
9780439271691,Tara MacCarthy
9780606105262,Madeleine L'Engle
9780751506433,Cynthia Harrod-Eagles
9780060786717,Charles Todd
9780743499347,Ewan McGregor
9780765313409,Daniel Abraham
9781400032495,Charles Willeford
9781400032488,Charles Willeford
9781400032464,Charles Willeford
9780679732525,Charles Willeford
9780312424442,Tom Wolfe
9780806930770,Edward Lear
9780140366600,Quentin Blake
9780811201124,Henry Miller
9780802130167,Henry Miller
9780802131782,Henry Miller
9780802151827,Henry Miller
9780802151780,Henry Miller
9780802151803,Henry Miller
9780811201063,Henry Miller
9780141439631,Henry James
9781593080969,Henry James
9781571290533,Marguerite Duras
9781565842212,Marguerite Duras
9780394743042,Marguerite Duras
9781851681822,Kahlil Gibran
9781566562492,Jean Gibran
9780140195538,Kahlil Gibran
9780394431246,Kahlil Gibran
9780806501901,Kahlil Gibran
9780679439202,Kahlil Gibran
9780753453803,Robert Louis Stevenson
9781402714573,Robert Louis Stevenson
9781416500292,Robert Louis Stevenson
9780689854682,Robert Louis Stevenson
9780517221143,Robert Louis Stevenson
9781577658054,Deidre S. Laiken
9780933121188,Ralph Ginzburg
9780785950103,Gabriel García Márquez
9780394800844,Dr. Seuss
9780821778258,Debbie Raleigh
9780060733032,Kevin Henkes
9788432216060,Patrick Süskind
9780345413994,Robert A. Heinlein
9780441788385,Robert A. Heinlein
9780441748600,Robert A. Heinlein
9780345316509,Robert A. Heinlein
9780765314932,Robert A. Heinlein
9780671742515,Douglas Adams
9780345455291,Douglas Adams
9780345476517,Nick  Webb
9780345368430,Terry Jones
9781417622856,Douglas Adams
9780573650963,Susan Nanus
9780691122946,Harry G. Frankfurt
9780393329407,Nick Flynn
9780671867423,Garry Wills
9780395883976,Abraham Lincoln
9780684848150,Don DeLillo
9780140156041,Don DeLillo
9780140119480,Don DeLillo
9780679722946,Don DeLillo
9780743244251,Don DeLillo
9780140179170,Don DeLillo
9780679722953,Don DeLillo
9781594201202,Thomas Pynchon
9780060930219,Thomas Pynchon
9780060931674,Thomas Pynchon
9780140283389,Thomas Pynchon
9780312423209,Thomas Pynchon
9780141180632,Thomas Pynchon
9780143039945,Thomas Pynchon
9780316724432,Thomas Pynchon
9780140189308,Richard Fariña
9781400043149,Joan Didion
9780374522216,Joan Didion
9780679754862,Joan Didion
9780679752868,Joan Didion
9780374521721,Joan Didion
9780679754855,Joan Didion
9780307264879,Joan Didion
9780374529949,Joan Didion
9780143039839,Paul Auster
9780140097313,Paul Auster
9780140097351,Paul Auster
9780940650763,Paul Auster
9780963188922,Peter Moon
9780312426231,Paul Auster
9780140115857,Paul Auster
9780140154078,Paul Auster
9780805081459,Paul Auster
9780140178135,Paul Auster
9780811214988,Paul Auster
9782742741465,Paul Auster
9780143036555,Jared Diamond
9780446579780,Stephen Leeb
9780521386739,Joseph A. Tainter
9780743203043,Robert D. Putnam
9780345438713,Philip K. Howard
9780393318289,Joy Harjo
9781599869940,Nikola Tesla
9780806519609,Marc J.  Seifer
9780822549208,Carol Dommermuth-Costa
9780932813862,Nikola Tesla
9780373792689,Julie Elizabeth Leto
9780974514055,Dave Thomas
9780764585975,Maureen Kelly
9780307281708,William Golding
9780812969702,Victor Davis Hanson
9780060255084,Ephraim Sevela
9780330485388,Alice Sebold
9781594130236,Alice Sebold
9780345360359,Sharyn McCrumb
785342303476,Dave Shea
9780321430847,Elizabeth Castro
9783822840856,Michael Ochs
9780743264464,Chuck Klosterman
9780743236010,Chuck Klosterman
9780553572490,Jane Feather
9780060589462,Robert M. Pirsig
9780802789471,Kevin O'Malley
9780688060695,Ronald L. DiSanto
9781859605158,John Harold Haynes
9781592530878,Catharine M. Fishel
9780451528803,Leo Tolstoy
9780192833983,Leo Tolstoy
9780486451381,Leo Tolstoy
9780452011878,Ayn Rand
9780451163080,Ayn Rand
9780452286757,Ayn Rand
9780451163936,Ayn Rand
9780452281257,Ayn Rand
9780451187840,Ayn Rand
9780451147950,Ayn Rand
9780452274044,Ayn Rand
9780471791430,J.J. Isler
9780553803815,Colin  Wells
9780375755194,Billy Collins
9781592283194,Christopher Caswell
9780975599518,Kevin Trudeau
9780374502003,Bernard Malamud
9780307263940,Anne Tyler
9780312405540,Gary Colombo
9780195170139,Thomas E. Skidmore
9781400079490,Philip Roth
9780688171629,Jon   Stewart
9780060932688,Gabriel García Márquez
9781400034956,Gabriel García Márquez
9780307350428,Gabriel García Márquez
9780307350442,Gabriel García Márquez
9781400034543,Gabriel García Márquez
9781400095803,Gabriel García Márquez
9780375708114,Brian Greene
9780861714926,Upasika Kee Nanayon
9781843535843,Rob Humphreys
9781740594776,Lonely Planet
9788408064763,Lonely Planet
9781740592055,Lonely Planet
9780618710539,H.G. Bissinger
9780060512804,Neal Stephenson
9782228894166,Neal Stephenson
9780060733353,Neal Stephenson
9780060593087,Neal Stephenson
9780553383447,Neal Stephenson
9780380816033,Neal Stephenson
9780553380965,Neal Stephenson
9780553383430,Neal Stephenson
9780060833183,Neal Stephenson
9780553380958,Neal Stephenson
9781880685358,Dan Harrington
9781880685334,Dan Harrington
9780465067107,Donald A. Norman
9780465051366,Donald A. Norman
9780465067091,Donald A. Norman
9780898709193,Alex C. Jones
9780060887964,Paulo Coelho
9780061122415,Paulo Coelho
9781421504605,Hiromu Arakawa
9781591169253,Hiromu Arakawa
9781421504599,Hiromu Arakawa
9781591169208,Hiromu Arakawa
9781591169291,Hiromu Arakawa
9780060192501,Paulo Coelho
9781591169239,Hiromu Arakawa
9780812974614,Robert   Harris
9781587157394,Edward Bulwer-Lytton
9780142000670,John Steinbeck
9780060554736,Neil Strauss
9780142401200,Ellen Raskin
9780808553038,Zilpha Keatley Snyder
9781400096893,Arthur Golden
9780739326220,Arthur Golden
9780099498186,Arthur Golden
9781557046833,David        James
9780099771517,Arthur Golden
9780743430593,Mineko Iwasaki
9781932664393,J. Torres
9780521750844,Margaret Johnson
9780802415318,Gary Chapman
9781416524793,Dan Brown
9788495618771,Dan Brown
9780972859899,Dan Brown
9780307277671,Dan Brown
9780767926034,Dan Brown
9782266144346,Dan Brown
9781416524809,Dan Brown
9780552151764,Dan Brown
9780593055076,Dan Brown
9780786016068,P.J. Parrish
9780671015206,Thomas J. Stanley
9781585424337,Napoleon Hill
9781932429237,Napoleon Hill
9780977616657,Mike   Mason
9781563410901,Riki Anne Wilchins
9780345479174,Donald J. Trump
9780451205360,George S. Clason
9781419349997,George S. Clason
9781400098033,Trevanian
9780743226721,David McCullough
9780140481396,Peter  Stone
9780226014906,Robert J. Allison
9781416500186,Pearl S. Buck
9780310258971,Rick Warren
9780060838584,Eric Schlosser
9780141006871,Eric Schlosser
9780812968064,Lisa See
9780385340540,John Grisham
9780394720241,Robert A. Caro
9780345480606,Stephen W. Frey
9780060193393,Bill Phillips
9781579546014,Pamela Peeke
9780972018418,Bill Phillips
9780471743675,Robert G. Hagstrom
9780471430452,Robert P. Miles
9780805431575,Marvin N. Olasky
9780679838869,Barbara Park
9780373250714,Sarah Mlynowski
9780140143454,Michael   Lewis
9780802732293,Frank McConnell
694055000612,Ursula Ferrigno
9780307238276,Giada De Laurentiis
9781400052585,Giada De Laurentiis
9780307346582,Giada De Laurentiis
9781400052387,Tyler Florence
9780609609972,Tyler Florence
9781400052370,Tyler Florence
9780061234002,Steven D. Levitt
9788466625128,Steven D. Levitt
9780061245138,Steven D. Levitt
9780399153594,Barry Eisler
9780156030205,Yann Martel
9780828808392,Yann Martel
9780140285970,Robert Templer
9780307276902,James Frey
9781411677319,Python Bonkers
9780061171468,James Pinocchio
9780787968335,James M. Kouzes
9780446394598,Donald T. Phillips
9780131494848,Gary Yukl
9780316861014,Rudolph W. Giuliani
9780060574215,John Gray
9780060192778,John Gray
9780061232053,John Gray
9780735200302,Ron  Louis
9780553381672,Jean M. Auel
9780517542026,Jean M. Auel
9780393324815,Michael   Lewis
9780744005615,Doug Walsh
9780140280197,Robert Greene
9780553383683,Steven Pressfield
9780553295412,Margaret Weis
9780812590104,Thomas Harlan
9780385516419,Steven Pressfield
9780553381399,Steven Pressfield
9780553382044,Steven Pressfield
9780446691437,Steven Pressfield
9780826413017,Stephen J. Rosen
9780811701648,David J. Danelo
9780140442755,Plato
9780192802774,Plato
9780140449747,Plato
9780879756321,Plato
9781890318239,Josef Pieper
9780872207882,Plato
9780801435300,Plato
9780872204621,Plato
9780140449044,Plato
9780140449082,Herodotus
9780140446388,Herodotus
9780879757779,Herodotus
9780192824257,Herodotus
9780140440348,Herodotus
9780393959468,Herodotus
9780375400612,Herodotus
9780226327709,Herodotus
9780140275360,Homer
9780872203525,Homer
9780374529055,Homer
9780147712554,Homer
9780140447941,Homer
9780451527370,Homer
9780872205420,Homer
9780143039952,Homer
9780374525743,Homer
9780060931957,Homer
9780140449112,Homer
9780451527363,Homer
9780865165847,Virgil
9780674995833,Virgil
9781891190230,Ed Roberson
9780192837684,Virgil
9781558321250,Paul  Kirk
9780141000589,William Shakespeare
9780517092941,William Shakespeare
9780521618748,William Shakespeare
9781557831576,Reduced Shakespeare Company
9780062512796,Paulo Coelho
9780062513342,Paulo Coelho
9780060527983,Paulo Coelho
9780060832810,Paulo Coelho
9780061122095,Paulo Coelho
9780060930134,Paulo Coelho
9780061124266,Paulo Coelho
9780140714548,William Shakespeare
9780764586033,Carla Lynn Stockton
9780764585685,William Shakespeare
9780879232153,Giorgio De Santillana
9780674991200,Thucydides
9780872201682,Thucydides
9780674991224,Thucydides
9780872203945,Thucydides
9780393971675,Thucydides
9780674991873,Thucydides
9780929524351,Cynthia W. Shelmerdine
9780226307800,Euripides
9780226307848,Euripides
9780226307831,Euripides
9781590171806,Anne Carson
9780553213638,Euripides
9780226307824,Euripides
9780226307817,Euripides
9780140449297,Euripides
9780674995604,Euripides
9780521643863,Euripides
9780140447262,Euripides
9780195125986,Euripides
9780413752802,Euripides
9780486424620,Euripides
9780393325836,Wole Soyinka
9780192832603,Euripides
9780674995338,Euripides
9780195061666,Euripides
9780674995666,Euripides
9780195145663,Euripides
9780715631874,William Allan
9780822004240,Robert J. Milch
9780674995741,Euripides
9780674996007,Euripides
9780715629949,Euripides
9780226307664,Euripides
9780226307787,Aeschylus
9780226307947,Aeschylus
9780195135923,Aeschylus
9780140443332,Aeschylus
9780872203907,Aeschylus
9780140441123,Aeschylus
9780374527051,Aeschylus
9780812216271,Aeschylus
9780226307640,Aeschylus
9780521539814,Simon Goldhill
9781400041923,Aeschylus
9780812216714,Aeschylus
9780486292427,Aeschylus
9781419150012,Aeschylus
9780226307862,Sophocles
9780452011670,Sophocles
9780451527844,Sophocles
9780156027649,Sophocles
9780140444254,Sophocles
9780872205857,Sophocles
9780679431329,Sophocles
9780140440287,Sophocles
9780192835888,Sophocles
9781580495936,Sophocles
9780451621603,Sophocles
9780521617352,Sophocles
9781416500339,Sophocles
9780452007178,Aristophanes
9780415907446,Aristophanes
9780553213430,Aristophanes
9780812234565,Aristophanes
9780872203617,Aristophanes
9780140448146,Aristophanes
9781585100873,Aristophanes
9780199120093,Aristophanes
9780674995376,Aristophanes
9780140441529,Aristophanes
9780156027656,Aristophanes
9780674995963,Aristophanes
49086007763,W. John Campbell
9780198721598,Douglas M. MacDowell
9780451616227,Aristophanes
9780198140818,Aristophanes
9780872206038,Aristophanes
9780140443325,Aristophanes
9780521774338,Andrea Wilson Nightingale
9781400032716,Mark Haddon
9780316156509,George Pelecanos
9780743482776,William Shakespeare
9780743271325,Annie Proulx
9780142000281,David    Allen
9781576751725,Geoffrey M. Bellman
9788433924636,Ricardo Piglia
9788433968777,Ricardo Piglia
9781862076655,Ricardo Piglia
9788433924711,Ricardo Piglia
9788433924629,Ricardo Piglia
9780321317100,Karen  O'Connor
9780321365200,Karen  O'Connor
9788432216428,Ernesto Sabato
9781565480841,Augustine of Hippo
9780679783190,Augustine of Hippo
9781565481244,Augustine of Hippo
9780520227576,Peter R.L. Brown
9780024021502,Augustine of Hippo
9780872201866,Augustine of Hippo
9780143035985,Garry Wills
9780192854520,Henry Chadwick
9781565482012,Augustine of Hippo
9780060934910,Anthony Bourdain
9788466308953,Anthony Bourdain
9780156001267,Ovid
9780140447897,Ovid
9780393058109,Ovid
9780806128948,Ovid
9780806114569,Ovid
9780814317327,Norma Goldman
9780674992559,Ovid
9780520242609,Ovid
9780674990470,Ovid
9780674990463,Ovid
9780814326114,Norma Goldman
9780806115603,Michael C.J. Putnam
9780691015972,Charles Segal
9780195143102,Sophocles
9780195143737,Sophocles
9780130158857,Richard Johnsonbaugh
9781857150605,Homer
9780226301198,Simon Goldhill
9780521315791,Simon Goldhill
9780521011761,Simon Goldhill
9780521479349,Simon Goldhill
9781585424832,Daniel Pinchbeck
9780767907439,Daniel Pinchbeck
9780743233217,Jon Ronson
9780743270601,Jon Ronson
9780393061314,Jared Diamond
9780865475090,Daniel Duane
9780385486804,Jon Krakauer
9780785268833,John Eldredge
9780743246989,Jung Chang
9780446579674,Nelson DeMille
9780515142396,Catherine Coulter
9780439227148,Jack London
9780375825385,Judy Sierra
9781591583660,Charles P. Rubenstein
9780805063899,Barbara Ehrenreich
9780394417752,Michel Foucault
9780140268683,Michel Foucault
9780140137347,Michel Foucault
9780140251579,Sue Birtwistle
9780192802385,Jane Austen
9780143036234,Jane Austen
9780486440910,Jane Austen
9781593083243,Jane Austen
9781400032808,Jon Krakauer
9780375752674,David  Roberts
9780385494786,Jon Krakauer
9780679783619,Valerian Albanov
9780374292799,Thomas L. Friedman
9788427032224,Thomas L. Friedman
9780898868098,David McClung
9780590422673,Arthur J. Roth
9780451529305,Louisa May Alcott
9781402714580,Louisa May Alcott
9780439101363,Louisa May Alcott
9780517221167,Louisa May Alcott
9781931082730,Louisa May Alcott
9781904633273,Louisa May Alcott
9780743487603,Charles Dickens
9781593081386,Charles Dickens
9781586633523,SparkNotes
9781593080556,Charles Dickens
9781857151435,Charles Dickens
9780671792275,James B. Stewart
9781405228183,Julia Golding
9780517093399,Charles Dickens
9780375760051,Charles Dickens
9780451530042,Charles Dickens
9780671882365,Daniel Pool
9780670030774,Jane Smiley
9780140436143,Charles Dickens
9780465031269,Jared Diamond
9780060183073,Jared Diamond
9780822533894,Colleen Sexton
9780439321624,J.K. Rowling
9780826452320,Philip Nel
9780747584667,J.K. Rowling
9780765342515,Frank Herbert
9780765342539,Frank Herbert
9780765342522,Frank Herbert
9780413772787,Sean O'Brien
9781420926712,Aristophanes
9780198144960,Aristophanes
9780521834346,Radcliffe G. Edmonds III
9781573921336,Aristophanes
9780198145042,Aristophanes
9781853991141,Paul Anthony Cartledge
9781883011086,Raymond Chandler
9781883011079,Raymond Chandler
9780375415029,Raymond Chandler
9780394758268,Raymond Chandler
9780394757650,Raymond Chandler
9780394758282,Raymond Chandler
9780394757681,Raymond Chandler
9780812970401,Paul Murray
9780452286870,Patti   Davis
9781421501567,Masaki Yamada
9780563524748,Raymond Chandler
9780670034727,Daniel C. Dennett
9780684824710,Daniel C. Dennett
9780142003848,Daniel C. Dennett
9780262540377,Daniel C. Dennett
9780465073511,Daniel C. Dennett
9780387987200,Nicholas Humphrey
9780262540421,Daniel C. Dennett
9780553345841,Douglas R. Hofstadter
9780553103748,Stephen Hawking
9780553804362,Stephen Hawking
9780553802023,Stephen Hawking
9780762419227,Stephen Hawking
9780465081981,David Filkin
9780393324464,Stephen Hawking
9780380707638,John Boslough
9780691050843,Stephen Hawking
9780060977108,Lawrence M. Krauss
9780713484076,Phillip Glasier
9780316281331,Timothy Ferris
9780452282315,Ayn Rand
9780452278875,Ayn Rand
9780451191151,Ayn Rand
9780446618762,Nancy L. Mace
9780060793197,Jorge Cruise
9781400051571,Thom Hartmann
9780312425029,Michael Cunningham
9780312424084,Michael Cunningham
9780316172325,Malcolm Gladwell
9780849945113,Ted Dekker
9780743422079,Mark Hoppus
9780517147689,Jane Austen
9780452286535,Karen Joy Fowler
9780517118290,Jane Austen
9780192832979,Jane Austen
9780192802637,Jane Austen
9780972121798,Kim Wilson
9780743564366,Ernest Hemingway
9780764586606,Jeanne Sallade Criswell
9780679731368,Julian Barnes
9780140435825,Gustave Flaubert
9780192836229,Gustave Flaubert
9780140448009,Gustave Flaubert
9780140447972,Gustave Flaubert
9780226735191,Jean-Paul Sartre
9780312422158,Jeffrey Eugenides
9780743270755,Doris Kearns Goodwin
9780743223133,David McCullough
9781574671322,Thomas May
9780142437117,Abigail Adams
9780393311334,Joseph J. Ellis
9780142437780,John  Adams
9780764553028,Ruth Westheimer
9780471773863,Jennifer Watson
9780452281325,David D. Burns
9780684842233,Elisabeth Kübler-Ross
9780684839370,Elisabeth Kübler-Ross
9780072920963,Lynne Ann DeSpelder
9780938497196,Mark Shepard
9780671708634,Stephen R. Covey
9780743250979,Stephen R. Covey
9780671887179,Stephen R. Covey
9781932073201,Dan Millman
9780915811236,Dan Millman
9780425179611,Lance Armstrong
9780306814556,John Wilcockson
9780671869205,David McCullough
9781400096916,Truman Capote
9780679600855,Truman Capote
9780345478207,Margaret Truman
9780449007389,Margaret Truman
9780679745648,Truman Capote
9780739333648,Truman Capote
9780684868769,Steven Johnson
9780446671828,Temple Grandin
9780813527406,Iris Fry
9780684842578,Edith Wharton
9780940450318,Edith Wharton
9781883011949,Edith Wharton
9780940450530,Edith Wharton
9780486420493,Edith Wharton
9780689304576,Zilpha Keatley Snyder
9780440802501,Zilpha Keatley Snyder
9780307236012,Douglas Adams
9781597770071,Douglas Adams
9780618056996,J.R.R. Tolkien
9780618083558,J.R.R. Tolkien
9780395291306,Ruth S. Noel
9780618574995,J.R.R. Tolkien
9780618009367,J.R.R. Tolkien
9780140272925,Bryce Courtenay
9780670910618,Bryce Courtenay
9780140271577,Bryce Courtenay
9780198111849,E.V. Gordon
9780815319665,Sarah M.  Anderson
9780671792763,David McCullough
9780671447540,David McCullough
9780684813639,David McCullough
9780844662923,David McCullough
9780743262132,David McCullough
9780451188458,Jeffery Deaver
9780761452423,Paul Yee
9788466305136,Jeffery Deaver
9789626343586,Herman Melville
9780763630188,Jan Needle
9780143058090,Herman Melville
9781593080181,Herman Melville
9780415247719,Michael J. Davey
9780192781536,Geraldine McCaughrean
9780919123700,Edward F. Edinger
9780192741561,Geraldine McCaughrean
9780252063022,Julian Markels
9780700607426,Elizabeth A. Schultz
9780515139730,Steve Martini
9780515121490,Steve Martini
9780061020612,Terry Pratchett
9780812967050,Mark Twain
9781854583529,Susan  Griffith
9780862921477,Theocritus
9780674996236,Hesiod
9780393977615,Wole Soyinka
9780141439976,H.G. Wells
9780743487733,H.G. Wells
9781571741028,Joseph McMoneagle
9780439436540,H.G. Wells
9781842124024,H.G. Wells
9780812970753,H.G. Wells
9780141441115,H.G. Wells
9780307264893,Umberto Eco
9780824512590,Henri J.M. Nouwen
9781400083114,Timothy B. Tyson
9780156007757,José Saramago
9780156001410,José Saramago
9780156010597,José Saramago
9780156013031,José Saramago
9780156005203,José Saramago
9780156028790,José Saramago
9780156004015,José Saramago
9781860465024,José Saramago
9788466312806,José Saramago
9788466314749,José Saramago
9788466306799,José Saramago
9780156006248,José Saramago
9789587043648,José Saramago
9780890093894,Kahlil Gibran
9780001000391,Kahlil Gibran
9780394448046,Kahlil Gibran
9780143036388,Jack Kerouac
9780141182674,Jack Kerouac
9780375711169,Mark Stevens
9783829602266,Julie Sylvester
9780679725404,Wole Soyinka
9780143034544,David    Allen
9780807744680,David  Allen
9780195137897,Sun Tzu
9780071460828,Al Ries
9780316346627,Malcolm Gladwell
9780786887170,Seth Godin
9780060521998,Clayton M. Christensen
9780141439563,Charles Dickens
9780393960693,Charles Dickens
9780664241582,Erasmus
9780060935467,Harper Lee
9780060888695,Harper Lee
9780061205699,Harper Lee
9780761501664,David H. Chilton
9780486287591,Jonathan Swift
9781416500391,Jonathan Swift
9781556434952,Xavier de C.
9780192834423,Henry James
9781931082303,Henry James
9781931082884,Henry James
9781883011093,Henry James
9780140424386,Geoffrey Chaucer
9780192833600,Geoffrey Chaucer
9780140422344,Geoffrey Chaucer
9780812000399,Geoffrey Chaucer
9780198711551,Helen  Cooper
9780140444087,Geoffrey Chaucer
9780671475024,Geoffrey Chaucer
9780395290316,Geoffrey Chaucer
9780140150810,Geoffrey Chaucer
9780142001615,Mark Kurlansky
9780689834196,Deloris Jordan
9780618446889,Monique Truong
9780394755267,Abdul Rahman Munif
9780553580075,Kim Stanley Robinson
9780805202410,Walter Benjamin
9780300115864,Saul Steinberg
9781568813073,Philip Dutre
9780747546559,David Guterson
9781558745155,Dave Pelzer
9780805061833,William S. Pollack
9780007179817,Douglas Coupland
9780415283045,Jean Aitchison
9780684832401,Ernest Becker
9780060838652,Howard Zinn
9781565848269,Howard Zinn
9781565847255,Howard Zinn
9780500203477,Richard Hollis
9780822318644,Lisa Lowe
9780395740101,Jonathan Hale
9780060913076,Thomas Pynchon
9780425181645,David Bodanis
9780307237200,David Bodanis
9780940895485,Rolland Hein
9780440936855,Madeleine L'Engle
9780877887263,Madeleine L'Engle
9780671686901,Madeleine L'Engle
9780877880202,Madeleine L'Engle
9780062545039,Madeleine L'Engle
9780521639873,Friedrich Nietzsche
9780385092104,Friedrich Nietzsche
9781419154072,Friedrich Nietzsche
9780140433395,Friedrich Nietzsche
9780907129073,Alastair Lamb
9780195114157,Mark Twain
9781400150687,Mark Twain
9780060734015,Katherine Paterson
9780439271714,Tara MacCarthy
9780618654796,Katherine Paterson
9780525464822,Katherine Paterson
9781559704649,Emil M. Cioran
9780786902064,Tanya Huff
9780452284937,Tracy Chevalier
9780385415606,Rosalind Laker
9780525949787,Tracy Chevalier
9780452283206,Tracy Chevalier
9780452284449,Tracy Chevalier
9783471772539,Tracy Chevalier
9781857093315,Tom Hunter
9781421506135,Tite Kubo
9781591164418,Tite Kubo
9781421506128,Tite Kubo
9781421502717,Tite Kubo
9781421504032,Tite Kubo
9784088736211,Tsugumi Ohba
9784088736716,Tsugumi Ohba
9784088736525,Tsugumi Ohba
9780373028603,Valerie Parv
9780307277763,Patrick Süskind
9783257228007,Patrick Süskind
9780747534938,Patrick Süskind
9780140105834,Patrick Süskind
9780747566755,Patrick Süskind
9784088732138,Tite Kubo
9782723442275,Tite Kubo
9780440410256,Gary Paulsen
9780440229353,Gary Paulsen
9780440419679,Gary Paulsen
9780306801457,Mike  Rowe
9780156001458,Gary Paulsen
9780385321983,Gary Paulsen
9780375757327,Daniel Defoe
9780141439822,Daniel Defoe
9780393964523,Daniel Defoe
9780689844089,Daniel Defoe
9781587263880,Daniel Defoe
9780486404882,Daniel Defoe
9780520238954,Mark Twain
9781555176808,Mark Twain
9781883011888,Mark Twain
9780142437179,Mark Twain
9780486443225,Mark Twain
9780375757372,Mark Twain
9780393020397,Mark Twain
9780486406640,Mark Twain
9780520242456,Mark Twain
9780553211955,Mark Twain
9780060955427,Mark Twain
9780940450738,Mark Twain
9780060594527,James Hilton
9781589199507,Louisa May Alcott
9780671019877,Nancy Friday
9780517189603,Frances Hodgson Burnett
9780451528834,Frances Hodgson Burnett
9781402713194,Martha Hailey DuBose
9780142437056,Frances Hodgson Burnett
9780142437018,Frances Hodgson Burnett
9780879237905,Ann Thwaite
9780060277406,Amy Cotler
9780465081455,Thomas Sowell
9780465002603,Thomas Sowell
9781594030864,Thomas Sowell
9780465081431,Thomas Sowell
9780465037384,Thomas Sowell
9780465081424,Thomas Sowell
9780744520057,Selina Shirley Hastings
9780916856595,Alcoholics Anonymous
9781893007161,Alcoholics Anonymous
9780960989867,Overeaters Anonymous
9780395530078,Kimon Nicolaides
9780618479030,Andrew Weil
9780374529383,Bernard Malamud
9780374525750,Bernard Malamud
9780374504847,Bernard Malamud
9780878054909,Lawrence M. Lasher
9780374521028,Bernard Malamud
9780822219750,Matthew Barber
9783458334224,Elizabeth von Arnim
9781420925432,E.M. Forster
9780451521415,E.M. Forster
9780811202107,Lionel Trilling
9780141441481,E.M. Forster
9780486424545,E.M. Forster
9780393310320,E.M. Forster
9780156286510,P.N. Furbank
9780141183350,E.M. Forster
9780385314695,Robert Hellenga
9781594200939,Gordon S. Wood
9780439847797,Gordon Korman
9780439651417,Gordon Korman
9780439651400,Gordon Korman
9780380777587,Deborah  Gordon
9781860460586,Ivo Andrić
9780750000338,Jean Estoril
9780750005944,Jean Estoril
9782253933212,Ivo Andrić
9780750012638,Jean Estoril
9780750002462,Jean Estoril
9780750002424,Jean Estoril
9781420926842,Plato
9780300044881,Plato
9780486427591,Plato
9780674993389,Aristotle
9780872203600,Aristophanes
9781420927320,Euripides
9780226307756,David Grene
9780312304355,Alan Brennert
9781416600305,Eric Jensen
9781840466386,Angus Gellatly
